Date,Close,High,Low,Open,Volume
2009-08-26,"2,975.00","3,065.00","2,900.00","2,960.00","29,108"
2009-08-25,"2,990.00","3,000.00","2,930.00","3,000.00","21,122"
2009-08-24,"2,995.00","3,085.00","2,965.00","3,085.00","25,852"
2009-08-21,"3,055.00","3,085.00","2,960.00","2,980.00","18,769"
2009-08-20,"3,000.00","3,050.00","2,955.00","3,040.00","21,148"
2009-08-19,"3,000.00","3,010.00","2,910.00","2,945.00","18,838"
2009-08-18,"2,915.00","2,945.00","2,800.00","2,800.00","12,566"
2009-08-17,"2,870.00","2,985.00","2,855.00","2,950.00","49,074"
2009-08-14,"2,950.00","3,030.00","2,920.00","2,985.00","64,379"
2009-08-13,"2,995.00","3,160.00","2,980.00","3,035.00","65,918"
2009-08-12,"3,060.00","3,070.00","2,995.00","3,010.00","28,187"
2009-08-11,"3,035.00","3,110.00","3,035.00","3,100.00","50,039"
2009-08-10,"3,095.00","3,140.00","3,010.00","3,090.00","55,974"
2009-08-07,"3,090.00","3,150.00","3,015.00","3,015.00","8,873"
2009-08-06,"3,080.00","3,175.00","3,030.00","3,175.00","17,254"
2009-08-05,"3,085.00","3,325.00","3,080.00","3,250.00","55,033"
2009-08-04,"3,230.00","3,375.00","3,190.00","3,375.00","19,113"
2009-08-03,"3,275.00","3,350.00","3,185.00","3,290.00","6,389"
2009-07-31,"3,290.00","3,310.00","3,215.00","3,215.00","24,726"
2009-07-30,"3,250.00","3,300.00","3,175.00","3,270.00","27,932"
2009-07-29,"3,270.00","3,370.00","3,240.00","3,265.00","30,217"
2009-07-28,"3,370.00","3,500.00","3,250.00","3,410.00","27,728"
2009-07-27,"3,445.00","3,500.00","3,400.00","3,500.00","8,531"
2009-07-24,"3,430.00","3,540.00","3,335.00","3,540.00","29,974"
2009-07-23,"3,465.00","3,555.00","3,400.00","3,500.00","48,461"
2009-07-22,"3,405.00","3,570.00","3,140.00","3,140.00","119,239"
2009-07-21,"3,140.00","3,185.00","3,065.00","3,080.00","19,730"
2009-07-20,"3,080.00","3,195.00","3,015.00","3,025.00","28,773"
2009-07-17,"3,055.00","3,175.00","3,020.00","3,050.00","26,883"
2009-07-16,"3,085.00","3,200.00","3,085.00","3,165.00","22,736"
2009-07-15,"3,145.00","3,210.00","3,050.00","3,135.00","48,584"
2009-07-14,"3,170.00","3,355.00","3,170.00","3,200.00","45,991"
2009-07-13,"3,200.00","3,465.00","3,195.00","3,440.00","53,218"
2009-07-10,"3,440.00","3,700.00","3,390.00","3,700.00","61,845"
2009-07-09,"3,660.00","3,685.00","3,560.00","3,635.00","46,445"
2009-07-08,"3,635.00","3,780.00","3,255.00","3,400.00","76,526"
2009-07-07,"3,420.00","3,570.00","3,360.00","3,540.00","71,954"
2009-07-06,"3,500.00","3,595.00","3,410.00","3,595.00","75,221"
2009-07-03,"3,440.00","3,470.00","3,280.00","3,340.00","89,168"
2009-07-02,"3,350.00","3,350.00","3,025.00","3,085.00","116,518"
2009-07-01,"3,085.00","3,090.00","3,000.00","3,040.00","16,489"
2009-06-30,"3,085.00","3,090.00","2,935.00","3,040.00","25,381"
2009-06-29,"3,045.00","3,045.00","2,800.00","2,905.00","41,449"
2009-06-26,"2,860.00","3,100.00","2,860.00","3,100.00","35,672"
2009-06-25,"3,050.00","3,090.00","2,900.00","3,000.00","14,779"
2009-06-24,"3,000.00","3,090.00","2,525.00","2,925.00","25,113"
